Using Hasura: http://localhost:8080/v1/graphql

== CrosschainMessage: Match Rate per Protocol per Route (sorted by % matched) ==
- layerzero:ethereum->fraxtal: total=193, matched=0 (0.00%)
- layerzero:plume->ethereum: total=642, matched=0 (0.00%)
- layerzero:sei->ethereum: total=421, matched=0 (0.00%)
- across:ethereum->polygon: total=2339, matched=0 (0.00%)
- layerzero:ethereum->mantle: total=145, matched=0 (0.00%)
- layerzero:berachain->ethereum: total=1052, matched=0 (0.00%)
- layerzero:hyperevm->ethereum: total=364, matched=0 (0.00%)
- layerzero:optimism->unichain: total=638, matched=0 (0.00%)
- across:optimism->unichain: total=3303, matched=0 (0.00%)
- layerzero:tac->ethereum: total=204, matched=0 (0.00%)
- layerzero:ethereum->hyperevm: total=922, matched=0 (0.00%)
- across:mode->optimism: total=310, matched=0 (0.00%)
- across:optimism->mode: total=952, matched=0 (0.00%)
- across:ethereum->bsc: total=1229, matched=0 (0.00%)
- layerzero:sei->arbitrum: total=601, matched=0 (0.00%)
- across:optimism->worldchain: total=378, matched=0 (0.00%)
- layerzero:optimism->bsc: total=358, matched=0 (0.00%)
- layerzero:polygon->optimism: total=152, matched=0 (0.00%)
- layerzero:optimism->gravity: total=167, matched=0 (0.00%)
- across:unichain->optimism: total=3693, matched=0 (0.00%)
- across:ethereum->worldchain: total=102, matched=0 (0.00%)
- layerzero:hemi->ethereum: total=156, matched=0 (0.00%)
- across:unichain->ethereum: total=1058, matched=0 (0.00%)
- layerzero:fraxtal->ethereum: total=144, matched=0 (0.00%)
- across:worldchain->optimism: total=398, matched=0 (0.00%)
- layerzero:aptos->ethereum: total=78, matched=0 (0.00%)
- layerzero:optimism->abstract: total=294, matched=0 (0.00%)
- layerzero:bsc->ethereum: total=2668, matched=0 (0.00%)
- layerzero:ethereum->solana: total=538, matched=0 (0.00%)
- layerzero:sonic->ethereum: total=553, matched=0 (0.00%)
- layerzero:abstract->optimism: total=662, matched=0 (0.00%)
- layerzero:plume->optimism: total=291, matched=0 (0.00%)
- layerzero:optimism->soneium: total=374, matched=0 (0.00%)
- layerzero:unichain->ethereum: total=781, matched=0 (0.00%)
- across:unknown->ink: total=7, matched=0 (0.00%)
- layerzero:unichain->optimism: total=623, matched=0 (0.00%)
- layerzero:mode->optimism: total=38, matched=0 (0.00%)
- layerzero:optimism->berachain: total=178, matched=0 (0.00%)
- across:polygon->optimism: total=539, matched=0 (0.00%)
- across:worldchain->base: total=713, matched=0 (0.00%)
- layerzero:ethereum->berachain: total=579, matched=0 (0.00%)
- across:ethereum->unichain: total=1002, matched=0 (0.00%)
- layerzero:optimism->plume: total=346, matched=0 (0.00%)
- across:bsc->base: total=2654, matched=0 (0.00%)
- layerzero:ethereum->abstract: total=428, matched=0 (0.00%)
- layerzero:optimism->superposition: total=10, matched=0 (0.00%)
- across:base->bsc: total=1034, matched=0 (0.00%)
- layerzero:unknown->ethereum: total=66, matched=0 (0.00%)
- across:worldchain->ethereum: total=154, matched=0 (0.00%)
- layerzero:ethereum->unichain: total=648, matched=0 (0.00%)
- layerzero:rootstock->ethereum: total=145, matched=0 (0.00%)
- layerzero:ethereum->aptos: total=47, matched=0 (0.00%)
- across:ethereum->lisk: total=18, matched=0 (0.00%)
- layerzero:avalanche->ethereum: total=991, matched=0 (0.00%)
- layerzero:mantle->optimism: total=195, matched=0 (0.00%)
- layerzero:ethereum->bsc: total=2432, matched=0 (0.00%)
- layerzero:optimism->orderly: total=84, matched=0 (0.00%)
- layerzero:orderly->optimism: total=44, matched=0 (0.00%)
- layerzero:sonic->base: total=859, matched=0 (0.00%)
- layerzero:optimism->coredao: total=52, matched=0 (0.00%)
- layerzero:optimism->polygon: total=210, matched=0 (0.00%)
- layerzero:gravity->ethereum: total=134, matched=0 (0.00%)
- layerzero:telos->ethereum: total=133, matched=0 (0.00%)
- layerzero:nibiru->ethereum: total=125, matched=0 (0.00%)
- layerzero:plume->base: total=1424, matched=0 (0.00%)
- layerzero:kaia->ethereum: total=141, matched=0 (0.00%)
- layerzero:cronos->ethereum: total=113, matched=0 (0.00%)
- layerzero:goat->ethereum: total=126, matched=0 (0.00%)
- layerzero:story->ethereum: total=175, matched=0 (0.00%)
- layerzero:evmonflow->ethereum: total=200, matched=0 (0.00%)
- layerzero:lightlink->ethereum: total=168, matched=0 (0.00%)
- layerzero:ape->ethereum: total=318, matched=0 (0.00%)
- layerzero:abstract->ethereum: total=346, matched=0 (0.00%)
- layerzero:iota->ethereum: total=155, matched=0 (0.00%)
- layerzero:fuse->ethereum: total=152, matched=0 (0.00%)
- layerzero:gnosis->ethereum: total=175, matched=0 (0.00%)
- layerzero:mantapacific->ethereum: total=85, matched=0 (0.00%)
- layerzero:metis->ethereum: total=99, matched=0 (0.00%)
- layerzero:flare->ethereum: total=215, matched=0 (0.00%)
- layerzero:cronoszkevm->ethereum: total=123, matched=0 (0.00%)
- layerzero:soneium->ethereum: total=164, matched=0 (0.00%)
- layerzero:peaq->ethereum: total=141, matched=0 (0.00%)
- layerzero:xdc->ethereum: total=137, matched=0 (0.00%)
- layerzero:vana->ethereum: total=124, matched=0 (0.00%)
- layerzero:glue->ethereum: total=142, matched=0 (0.00%)
- layerzero:botanix->ethereum: total=100, matched=0 (0.00%)
- layerzero:base->bsc: total=2735, matched=0 (0.00%)
- layerzero:bsc->optimism: total=264, matched=0 (0.00%)
- layerzero:degen->ethereum: total=84, matched=0 (0.00%)
- layerzero:soneium->optimism: total=447, matched=0 (0.00%)
- layerzero:ethereum->plume: total=405, matched=0 (0.00%)
- layerzero:optimism->swell: total=5, matched=0 (0.00%)
- across:bsc->optimism: total=292, matched=0 (0.00%)
- across:optimism->soneium: total=209, matched=0 (0.00%)
- layerzero:etherlink->ethereum: total=8, matched=0 (0.00%)
- layerzero:bsc->base: total=2956, matched=0 (0.00%)
- layerzero:ethereum->avalanche: total=732, matched=0 (0.00%)
- layerzero:ethereum->sei: total=279, matched=0 (0.00%)
- across:lisk->ethereum: total=67, matched=0 (0.00%)
- layerzero:ethereum->movement: total=113, matched=0 (0.00%)
- layerzero:base->gravity: total=4198, matched=0 (0.00%)
- layerzero:solana->ethereum: total=636, matched=0 (0.00%)
- layerzero:base->polygon: total=519, matched=0 (0.00%)
- layerzero:sei->optimism: total=185, matched=0 (0.00%)
- layerzero:lightlink->optimism: total=101, matched=0 (0.00%)
- layerzero:evmonflow->optimism: total=31, matched=0 (0.00%)
- across:base->unichain: total=1727, matched=0 (0.00%)
- layerzero:iota->optimism: total=52, matched=0 (0.00%)
- layerzero:base->solana: total=718, matched=0 (0.00%)
- layerzero:gnosis->optimism: total=56, matched=0 (0.00%)
- layerzero:flare->optimism: total=110, matched=0 (0.00%)
- layerzero:berachain->optimism: total=117, matched=0 (0.00%)
- layerzero:cronoszkevm->optimism: total=12, matched=0 (0.00%)
- layerzero:mantapacific->optimism: total=27, matched=0 (0.00%)
- layerzero:optimism->hyperevm: total=212, matched=0 (0.00%)
- across:soneium->base: total=729, matched=0 (0.00%)
- layerzero:kava->ethereum: total=52, matched=0 (0.00%)
- layerzero:ethereum->sonic: total=245, matched=0 (0.00%)
- layerzero:hyperevm->optimism: total=108, matched=0 (0.00%)
- layerzero:coredao->ethereum: total=73, matched=0 (0.00%)
- layerzero:rari->ethereum: total=68, matched=0 (0.00%)
- layerzero:rootstock->optimism: total=39, matched=0 (0.00%)
- layerzero:base->unichain: total=1002, matched=0 (0.00%)
- across:unichain->base: total=2460, matched=0 (0.00%)
- layerzero:etherlink->base: total=187, matched=0 (0.00%)
- layerzero:ethereum->evmonflow: total=74, matched=0 (0.00%)
- across:blast->ethereum: total=557, matched=0 (0.00%)
- across:optimism->polygon: total=609, matched=0 (0.00%)
- layerzero:polygon->ethereum: total=150, matched=0 (0.00%)
- layerzero:base->dexalot: total=196, matched=0 (0.00%)
- across:ethereum->soneium: total=52, matched=0 (0.00%)
- layerzero:zircuit->ethereum: total=14, matched=0 (0.00%)
- layerzero:ethereum->orderly: total=304, matched=0 (0.00%)
- layerzero:ethereum->fuse: total=69, matched=0 (0.00%)
- layerzero:unichain->base: total=1189, matched=0 (0.00%)
- layerzero:ethereum->hemi: total=84, matched=0 (0.00%)
- across:ethereum->blast: total=36, matched=0 (0.00%)
- layerzero:base->kaia: total=96, matched=0 (0.00%)
- across:lens->ethereum: total=29, matched=0 (0.00%)
- layerzero:ethereum->polygon: total=102, matched=0 (0.00%)
- layerzero:blast->ethereum: total=44, matched=0 (0.00%)
- across:lisk->optimism: total=538, matched=0 (0.00%)
- across:optimism->lisk: total=101, matched=0 (0.00%)
- layerzero:rootstock->base: total=45, matched=0 (0.00%)
- layerzero:lisk->optimism: total=181, matched=0 (0.00%)
- layerzero:ethereum->story: total=86, matched=0 (0.00%)
- across:soneium->optimism: total=479, matched=0 (0.00%)
- layerzero:ethereum->mantapacific: total=16, matched=0 (0.00%)
- layerzero:ethereum->flare: total=161, matched=0 (0.00%)
- layerzero:orderly->ethereum: total=40, matched=0 (0.00%)
- layerzero:optimism->rootstock: total=14, matched=0 (0.00%)
- layerzero:cyber->ethereum: total=239, matched=0 (0.00%)
- layerzero:optimism->gnosis: total=17, matched=0 (0.00%)
- layerzero:optimism->fuse: total=16, matched=0 (0.00%)
- layerzero:optimism->beam: total=4, matched=0 (0.00%)
- layerzero:optimism->kaia: total=35, matched=0 (0.00%)
- layerzero:optimism->celo: total=1, matched=0 (0.00%)
- layerzero:blast->optimism: total=27, matched=0 (0.00%)
- layerzero:worldchain->optimism: total=12, matched=0 (0.00%)
- layerzero:aurora->ethereum: total=53, matched=0 (0.00%)
- layerzero:movement->ethereum: total=108, matched=0 (0.00%)
- layerzero:taiko->ethereum: total=62, matched=0 (0.00%)
- layerzero:base->abstract: total=979, matched=0 (0.00%)
- layerzero:ethereum->kava: total=39, matched=0 (0.00%)
- layerzero:ethereum->taiko: total=31, matched=0 (0.00%)
- layerzero:ethereum->coredao: total=34, matched=0 (0.00%)
- layerzero:ethereum->telos: total=52, matched=0 (0.00%)
- layerzero:ethereum->lightlink: total=45, matched=0 (0.00%)
- layerzero:ethereum->xdc: total=54, matched=0 (0.00%)
- across:base->polygon: total=1918, matched=0 (0.00%)
- layerzero:unknown->optimism: total=22, matched=0 (0.00%)
- layerzero:bouncebit->ethereum: total=14, matched=0 (0.00%)
- across:blast->optimism: total=169, matched=0 (0.00%)
- layerzero:ethereum->bouncebit: total=6, matched=0 (0.00%)
- across:optimism->bsc: total=44, matched=0 (0.00%)
- layerzero:superposition->ethereum: total=42, matched=0 (0.00%)
- layerzero:base->orderly: total=1056, matched=0 (0.00%)
- layerzero:orderly->base: total=213, matched=0 (0.00%)
- layerzero:ethereum->tron: total=259, matched=0 (0.00%)
- layerzero:ethereum->glue: total=70, matched=0 (0.00%)
- layerzero:sei->base: total=200, matched=0 (0.00%)
- layerzero:ethereum->kaia: total=61, matched=0 (0.00%)
- layerzero:hemi->optimism: total=127, matched=0 (0.00%)
- across:blast->base: total=723, matched=0 (0.00%)
- across:zksync->unichain: total=104, matched=0 (0.00%)
- across:zksync->polygon: total=106, matched=0 (0.00%)
- across:polygon->zksync: total=49, matched=0 (0.00%)
- across:zksync->bsc: total=223, matched=0 (0.00%)
- across:zksync->mode: total=7, matched=0 (0.00%)
- across:mode->zksync: total=9, matched=0 (0.00%)
- across:unichain->zksync: total=39, matched=0 (0.00%)
- across:lens->zksync: total=5, matched=0 (0.00%)
- across:ethereum->lens: total=28, matched=0 (0.00%)
- across:zksync->soneium: total=20, matched=0 (0.00%)
- layerzero:zksync->berachain: total=253, matched=0 (0.00%)
- layerzero:zksync->blast: total=2, matched=0 (0.00%)
- across:unknown->zksync: total=2, matched=0 (0.00%)
- layerzero:gravity->optimism: total=85, matched=0 (0.00%)
- across:blast->zksync: total=45, matched=0 (0.00%)
- layerzero:nibiru->optimism: total=30, matched=0 (0.00%)
- across:bsc->zksync: total=139, matched=0 (0.00%)
- layerzero:zksync->sonic: total=5, matched=0 (0.00%)
- layerzero:xdc->optimism: total=42, matched=0 (0.00%)
- layerzero:beam->ethereum: total=69, matched=0 (0.00%)
- layerzero:peaq->optimism: total=29, matched=0 (0.00%)
- across:zora->zksync: total=13, matched=0 (0.00%)
- layerzero:degen->optimism: total=14, matched=0 (0.00%)
- across:zksync->zora: total=11, matched=0 (0.00%)
- layerzero:base->glue: total=172, matched=0 (0.00%)
- across:lisk->zksync: total=6, matched=0 (0.00%)
- across:zksync->lens: total=3, matched=0 (0.00%)
- layerzero:gnosis->base: total=247, matched=0 (0.00%)
- layerzero:polygon->base: total=390, matched=0 (0.00%)
- across:zksync->lisk: total=3, matched=0 (0.00%)
- layerzero:solana->base: total=492, matched=0 (0.00%)
- layerzero:base->ape: total=55, matched=0 (0.00%)
- layerzero:optimism->sei: total=116, matched=0 (0.00%)
- layerzero:solana->optimism: total=35, matched=0 (0.00%)
- layerzero:base->hyperevm: total=800, matched=0 (0.00%)
- layerzero:base->cyber: total=3240, matched=0 (0.00%)
- layerzero:soneium->base: total=727, matched=0 (0.00%)
- layerzero:hyperevm->base: total=574, matched=0 (0.00%)
- layerzero:avalanche->optimism: total=157, matched=0 (0.00%)
- layerzero:base->etherlink: total=168, matched=0 (0.00%)
- across:base->unknown: total=136, matched=0 (0.00%)
- across:polygon->base: total=2841, matched=0 (0.00%)
- layerzero:optimism->lisk: total=136, matched=0 (0.00%)
- layerzero:ethereum->gnosis: total=73, matched=0 (0.00%)
- layerzero:base->fuse: total=74, matched=0 (0.00%)
- across:soneium->zksync: total=23, matched=0 (0.00%)
- layerzero:base->sonic: total=896, matched=0 (0.00%)
- across:base->soneium: total=338, matched=0 (0.00%)
- layerzero:ethereum->rootstock: total=76, matched=0 (0.00%)
- across:zksync->worldchain: total=4, matched=0 (0.00%)
- across:worldchain->zksync: total=14, matched=0 (0.00%)
- layerzero:base->lyra: total=83, matched=0 (0.00%)
- across:zksync->blast: total=10, matched=0 (0.00%)
- layerzero:base->berachain: total=392, matched=0 (0.00%)
- layerzero:base->hemi: total=72, matched=0 (0.00%)
- layerzero:base->avalanche: total=480, matched=0 (0.00%)
- layerzero:base->sei: total=143, matched=0 (0.00%)
- layerzero:ape->base: total=58, matched=0 (0.00%)
- layerzero:tron->ethereum: total=84, matched=0 (0.00%)
- layerzero:abstract->base: total=706, matched=0 (0.00%)
- layerzero:base->rari: total=45, matched=0 (0.00%)
